round_epochs,val_loss,val_acc,loss,acc,batch_size,dropout,epochs,first_layer,last_activation,losses,lr,optimizer
10,0.6311251433189136,0.627670407295227,0.6607082798875403,0.58969885,108,0.35,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6323370760721689,0.6408952474594116,0.6604728406040703,0.5870799,108,0.35,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6333526636067388,0.6246185302734375,0.6621847422244714,0.5931907,108,0.35,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6289950999699434,0.6368260383605957,0.6575279590189587,0.59231776,108,0.35,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6395232781752687,0.6225839257240295,0.6553587913513184,0.5936272,108,0.35,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6301102261092146,0.6286876797676086,0.65464424041097,0.5949367,108,0.35,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6420407968886871,0.629705011844635,0.6584373639692442,0.59275424,108,0.35,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6297560622830357,0.6225839257240295,0.6583053199602807,0.58838934,108,0.35,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.7161733252834813,0.4404883086681366,0.6654218464166199,0.5866434,108,0.35,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6311039670559058,0.6307222843170166,0.6585386009364085,0.5862069,108,0.35,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6883711838528196,0.5574771165847778,0.6636236612321195,0.5936272,108,0.35,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6327555054080571,0.6307222843170166,0.6595480129324365,0.59755564,108,0.35,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.632642076071257,0.629705011844635,0.6588359603138794,0.60323006,108,0.35,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6291748710348065,0.629705011844635,0.6589596726810084,0.5953732,108,0.35,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6350098990836197,0.627670407295227,0.6553228579198154,0.59711915,108,0.35,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6316870523129693,0.6307222843170166,0.6612402703084576,0.5910083,108,0.35,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6457867381652762,0.6256358027458191,0.6603791456667943,0.5862069,108,0.35,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6280872150573459,0.6317395567893982,0.6583160275665759,0.59275424,108,0.35,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6450433048930319,0.6286876797676086,0.6589209477176109,0.5866434,108,0.35,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6305767729469136,0.6236011981964111,0.6645806151308487,0.5844609,108,0.35,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6756450171266907,0.6022380590438843,0.6601928465494367,0.5866434,108,0.35,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.635231861323573,0.6327568888664246,0.6591638876641489,0.5940637,206,0.2,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6363591883456597,0.6307222843170166,0.6619073846932323,0.5914448,206,0.2,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6309563649149417,0.6307222843170166,0.6566546619953104,0.58969885,206,0.2,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6465680038941113,0.627670407295227,0.6553482927645413,0.60235703,206,0.2,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.630930341029822,0.6286876797676086,0.6555307176060055,0.5892623,206,0.2,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.639199498468595,0.6246185302734375,0.660597373257033,0.58751637,206,0.2,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6311106598753168,0.6368260383605957,0.6574402461661776,0.5997381,206,0.2,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.641311156846742,0.6307222843170166,0.6574682004323749,0.580096,206,0.2,10,100,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.627841283079324,0.621566653251648,0.6538865498609805,0.59711915,206,0.2,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6394555750601411,0.6246185302734375,0.6583601289677964,0.58795285,206,0.2,10,100,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.635547518123809,0.6286876797676086,0.661272398278683,0.5857704,206,0.2,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6355328592012275,0.6307222843170166,0.6573083541217406,0.59711915,206,0.2,10,150,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6296754357531015,0.6347914338111877,0.6557653196666606,0.59886515,206,0.2,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6385825115084527,0.6205493211746216,0.6572053034146349,0.59013534,206,0.2,10,150,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6313465309773675,0.6266530752182007,0.6559052435085275,0.5918813,206,0.2,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6391078665443257,0.6246185302734375,0.6567490702110417,0.59886515,206,0.2,10,150,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6316212954137963,0.6317395567893982,0.6535890518656364,0.5953732,206,0.2,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6395204361312145,0.6286876797676086,0.6570227530677992,0.5918813,206,0.2,10,150,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6284749212609424,0.6307222843170166,0.656626792179867,0.60584897,206,0.2,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6442671497016084,0.6266530752182007,0.658876767329179,0.58795285,206,0.2,10,150,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6345759702359429,0.6337741613388062,0.6599182033060108,0.59930164,206,0.2,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6374794651023733,0.6266530752182007,0.6645150029830983,0.57922304,206,0.2,10,200,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.6287805839448348,0.6347914338111877,0.655297814654971,0.6010476,206,0.2,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6423268639544141,0.6256358027458191,0.6575915325889937,0.5953732,206,0.2,10,200,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.6303456069736733,0.6266530752182007,0.6522455177989811,0.59711915,206,0.2,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
10,0.6405449676974502,0.6236011981964111,0.6557953734420783,0.5888258,206,0.2,10,200,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Nadam'>
10,0.6268093447112844,0.6317395567893982,0.6571891677790674,0.59013534,206,0.2,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Adam'>
10,0.6439743504640651,0.629705011844635,0.6615456375478397,0.58969885,206,0.2,10,200,sigmoid,binary_crossentropy,6.039999999999999,<class 'keras.optimizers.Nadam'>
10,0.6299543906446633,0.6358087658882141,0.6567213264993579,0.5953732,206,0.2,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Adam'>
10,0.6479718166717071,0.627670407295227,0.6613613853335953,0.59275424,206,0.2,10,200,sigmoid,binary_crossentropy,8.02,<class 'keras.optimizers.Nadam'>
10,0.6373437550278913,0.6337741613388062,0.6632437298049161,0.59275424,206,0.35,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Adam'>
10,0.6332523708183428,0.6236011981964111,0.6621412736835671,0.581842,206,0.35,10,100,sigmoid,binary_crossentropy,0.1,<class 'keras.optimizers.Nadam'>
10,0.63037548709134,0.629705011844635,0.658027116672694,0.57878655,206,0.35,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Adam'>
10,0.6330152974366414,0.6266530752182007,0.6569686617876234,0.58795285,206,0.35,10,100,sigmoid,binary_crossentropy,2.08,<class 'keras.optimizers.Nadam'>
10,0.633709488965245,0.6347914338111877,0.6572382904358276,0.59886515,206,0.35,10,100,sigmoid,binary_crossentropy,4.06,<class 'keras.optimizers.Adam'>
